"Liste des joueurs : ","j1","j2","j3","j4","j5","j6"

"Meilleur Bot contre le deuxieme meilleur",,,,,,
"nbGame","1000",,,,,
"Moyenne","17.168","17.796","17.918","17.975","18.082","18.416"
"Victoire","149","162","166","172","159","192"
"TauxV","14.900001%","16.2%","16.599998%","17.2%","15.9%","19.2%"
"Défaite","851","838","834","828","841","808"
"TauxD","85.1%","83.8%","83.4%","82.8%","84.1%","80.8%"
,,,,,,
"Meilleur Bot contre lui-même",,,,,,
"nbGame","1000",,,,,
"Moyenne","17.323","17.37","18.006","18.022","18.274","18.167"
"Victoire","146","148","181","168","169","188"
"TauxV","14.599999%","14.8%","18.099998%","16.8%","16.9%","18.8%"
"Défaite","854","852","819","832","831","812"
"TauxD","85.4%","85.2%","81.9%","83.2%","83.1%","81.2%"
